prefix,namespace
sdmxa:,<http://purl.org/linked-data/sdmx/2009/attribute#>
exif:,<http://www.w3.org/2003/12/exif/ns#>
xsi:,<http://www.w3.org/2001/XMLSchema-instance#>
qudt:,<http://qudt.org/vocab/unit#>
om:,<http://opendata.caceres.es/def/ontomunicipio#>
adms:,<http://www.w3.org/ns/adms#>
swrl:,<http://www.w3.org/2003/11/swrl#>
dul:,<http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#>
type:,<http://info.deepcarbon.net/schema/type#>
lyou:,<http://purl.org/linkingyou/>
swrcfe:,<http://www.morelab.deusto.es/ontologies/swrcfe#>
omn:,<http://open-multinet.info/ontology/omn#>
cnt:,<http://www.w3.org/2011/content#>
swrlb:,<http://www.w3.org/2003/11/swrlb#>
cert:,<http://www.w3.org/ns/auth/cert#>
lemon:,<http://lemon-model.net/lemon#>
openlinks:,<http://www.openlinksw.com/schemas/virtrdf#>
ore:,<http://www.openarchives.org/ore/terms/>
isbd:,<http://iflastandards.info/ns/isbd/elements/>
edm:,<http://www.europeana.eu/schemas/edm/>
nfo:,<http://www.semanticdesktop.org/ontologies/2007/03/22/nfo#>
eat:,<http://www.eat.rl.ac.uk/#>
ontology:,<http://dbpedia.org/ontology/>
aat:,<http://vocab.getty.edu/aat/>
sioct:,<http://rdfs.org/sioc/types#>
voaf:,<http://purl.org/vocommons/voaf#>
gtfs:,<http://vocab.gtfs.org/terms#>
sf:,<http://www.opengis.net/ont/sf#>
scovo:,<http://purl.org/NET/scovo#>
siocserv:,<http://rdfs.org/sioc/services#>
ac:,<http://umbel.org/umbel/ac/>
fabio:,<http://purl.org/spar/fabio/>
db:,<http://dbpedia.org/>
geoes:,<http://geo.linkeddata.es/resource/>
coref:,<http://www.rkbexplorer.com/ontologies/coref#>
skosxl:,<http://www.w3.org/2008/05/skos-xl#>
drugbank:,<http://www4.wiwiss.fu-berlin.de/drugbank/resource/drugbank/>
gvp:,<http://vocab.getty.edu/ontology#>
ldp:,<http://www.w3.org/ns/ldp#>
tgn:,<http://vocab.getty.edu/tgn/>
eg:,<http://www.example.org/>
pmlj:,<http://inference-web.org/2.0/pml-justification.owl#>
nif:,<http://persistence.uni-leipzig.org/nlp2rdf/ontologies/nif-core#>
room:,<http://vocab.deri.ie/rooms#>
ptr:,<http://www.w3.org/2009/pointers#>
ulan:,<http://vocab.getty.edu/ulan/>
lv:,<http://purl.org/lobid/lv#>
prism:,<http://prismstandard.org/namespaces/basic/2.0/>
gold:,<http://purl.org/linguistics/gold/>
test:,<http://test2.example.com/>
acc:,<http://purl.org/NET/acc#>
uniprot:,<http://purl.uniprot.org/core/>
core:,<http://vivoweb.org/ontology/core#>
georss:,<http://www.georss.org/georss/>
ssn:,<http://www.w3.org/ns/ssn/>
nsogi:,<http://prefix.cc/nsogi:>
doc:,<http://www.w3.org/2000/10/swap/pim/doc#>
go:,<http://purl.org/obo/owl/GO#>
movie:,<http://data.linkedmdb.org/resource/movie/>
dbc:,<http://dbpedia.org/resource/Category:>
wn:,<http://xmlns.com/wordnet/1.6/>
dce:,<http://purl.org/dc/elements/1.1/>
rsa:,<http://www.w3.org/ns/auth/rsa#>
bif:,<http://www.openlinksw.com/schemas/bif#>
whois:,<http://www.kanzaki.com/ns/whois#>
geosparql:,<http://www.opengis.net/ont/geosparql#>
akts:,<http://www.aktors.org/ontology/support#>
music:,<http://musicontology.com/>
space:,<http://purl.org/net/schemas/space/>
dbprop:,<http://dbpedia.org/property/>
loc:,<http://www.w3.org/2007/uwa/context/location.owl#>
lgd:,<http://linkedgeodata.org/triplify/>
java:,<http://www.w3.org/2007/uwa/context/java.owl#>
po:,<http://purl.org/ontology/po/>
rec:,<http://purl.org/ontology/rec/core#>
sider:,<http://www4.wiwiss.fu-berlin.de/sider/resource/sider/>
acm:,<http://www.rkbexplorer.com/ontologies/acm#>
lexinfo:,<http://www.lexinfo.net/ontology/2.0/lexinfo#>
cerif:,<http://spi-fm.uca.es/neologism/cerif#>
cito:,<http://purl.org/spar/cito/>
dblp:,<http://dblp.uni-trier.de/rdf/schema-2015-01-26#>
httph:,<http://www.w3.org/2007/ont/httph#>
service:,<http://purl.org/ontology/service#>
wn20schema:,<http://www.w3.org/2006/03/wn/wn20/schema/>
acl:,<http://www.w3.org/ns/auth/acl#>
zoology:,<http://purl.org/NET/biol/zoology#>
am:,<http://vocab.deri.ie/am#>
ti:,<http://www.ontologydesignpatterns.org/cp/owl/timeinterval.owl#>
umbelrc:,<http://umbel.org/umbel/rc/>
sp:,<http://spinrdf.org/sp#>
cco:,<http://www.ontologyrepository.com/CommonCoreOntologies/>
organism:,<http://eulersharp.sourceforge.net/2003/03swap/organism#>
dbpediaowl:,<http://dbpedia.org/ontology/>
formats:,<http://www.w3.org/ns/formats/>
lode:,<http://linkedevents.org/ontology/>
prv:,<http://purl.org/net/provenance/ns#>
ceo:,<https://linkeddata.cultureelerfgoed.nl/vocab/def/ceo#>
imm:,<http://schemas.microsoft.com/imm/>
pr:,<http://purl.org/ontology/prv/core#>
sec:,<https://w3id.org/security#>
nmo:,<http://www.semanticdesktop.org/ontologies/2007/03/22/nmo#>
gndo:,<http://d-nb.info/standards/elementset/gnd#>
kb:,<http://deductions.sf.net/ontology/knowledge_base.owl#>
ignf:,<http://data.ign.fr/def/ignf#>
swid:,<http://semanticweb.org/id/>
itsrdf:,<http://www.w3.org/2005/11/its/rdf#>
sesame:,<http://www.openrdf.org/schema/sesame#>
sparql:,<http://www.w3.org/ns/sparql#>
nao:,<http://www.semanticdesktop.org/ontologies/2007/08/15/nao#>
ndl:,<http://schemas.ogf.org/nml/2013/05/base#>
xml:,<http://www.w3.org/XML/1998/namespace/>
irw:,<http://www.ontologydesignpatterns.org/ont/web/irw.owl#>
cdm:,<http://publications.europa.eu/ontology/cdm#>
nco:,<http://www.semanticdesktop.org/ontologies/2007/03/22/nco#>
ecs:,<http://rdf.ecs.soton.ac.uk/ontology/ecs#>
abc:,<http://www.metadata.net/harmony/ABCSchemaV5Commented.rdf#>
ya:,<http://blogs.yandex.ru/schema/foaf/>
cro:,<http://rhizomik.net/ontologies/copyrightonto.owl#>
bd:,<http://www.bigdata.com/rdf#>
pat:,<http://purl.org/hpi/patchr#>
atom:,<http://www.w3.org/2005/Atom/>
spin:,<http://spinrdf.org/spin#>
daml:,<http://www.daml.org/2001/03/daml+oil#>
opm:,<https://w3id.org/opm#>
resist:,<http://www.rkbexplorer.com/ontologies/resist#>
wo:,<http://purl.org/ontology/wo/>
gd:,<http://rdf.data-vocabulary.org/#>
omb:,<http://purl.org/ontomedia/ext/common/being#>
smf:,<http://topbraid.org/sparqlmotionfunctions#>
protege:,<http://protege.stanford.edu/system#>
sit:,<http://www.ontologydesignpatterns.org/cp/owl/situation.owl#>
granatum:,<http://chem.deri.ie/granatum/>
ro:,<http://purl.org/obo/owl/ro#>
pmt:,<http://tipsy.googlecode.com/svn/trunk/vocab/pmt#>
olia:,<http://purl.org/olia/olia.owl#>
omt:,<http://purl.org/ontomedia/ext/common/trait#>
admingeo:,<http://data.ordnancesurvey.co.uk/ontology/admingeo/>
fise:,<http://fise.iks-project.eu/ontology/>
cpa:,<http://www.ontologydesignpatterns.org/schemas/cpannotationschema.owl#>
climb:,<http://climb.dataincubator.org/vocabs/climb/>
fresnel:,<http://www.w3.org/2004/09/fresnel#>
mods:,<http://www.loc.gov/mods/v3#>
oc:,<http://opencoinage.org/rdf/>
lx:,<http://purl.org/NET/lx#>
link:,<http://www.w3.org/2006/link#>
biocore:,<http://bio2rdf.org/core#>
biol:,<http://purl.org/NET/biol/ns#>
rnews:,<http://iptc.org/std/rNews/2011-10-07#>
scot:,<http://rdfs.org/scot/ns#>
web:,<http://www.w3.org/2007/uwa/context/web.owl#>
user:,<http://schemas.talis.com/2005/user/schema#>
politico:,<http://www.rdfabout.com/rdf/schema/politico/>
sh:,<http://www.w3.org/ns/shacl#>
bibtex:,<http://purl.org/net/nknouf/ns/bibtex#>
dctype:,<http://purl.org/dc/dcmitype/>
myspo:,<http://purl.org/ontology/myspace#>
umbel:,<http://umbel.org/umbel#>
product:,<http://purl.org/commerce/product#>
site:,<http://ns.ontowiki.net/SysOnt/Site/>
wgs84:,<http://www.w3.org/2003/01/geo/wgs84_pos#>
mf:,<http://www.w3.org/2001/sw/DataAccess/tests/test-manifest#>
ping:,<https://namso-gen.com/>
disco:,<http://rdf-vocabulary.ddialliance.org/discovery#>
label:,<http://purl.org/net/vocab/2004/03/label#>
lfn:,<http://www.dotnetrdf.org/leviathan#>
food:,<http://purl.org/foodontology#>
cgov:,<http://reference.data.gov.uk/def/central-government/>
fec:,<http://www.rdfabout.com/rdf/schema/usfec/>
wdrs:,<http://www.w3.org/2007/05/powder-s#>
mit:,<http://purl.org/ontology/mo/mit#>
oauth:,<http://demiblog.org/vocab/oauth#>
pav:,<http://purl.org/pav/>
taxo:,<http://purl.org/rss/1.0/modules/taxonomy/>
doac:,<http://ramonantonio.net/doac/0.1/#>
atomix:,<http://buzzword.org.uk/rdf/atomix#>
list:,<http://www.w3.org/2000/10/swap/list#>
ddc:,<http://purl.org/NET/decimalised#>
wv:,<http://vocab.org/waiver/terms/>
postcode:,<http://data.ordnancesurvey.co.uk/id/postcodeunit/>
npg:,<http://ns.nature.com/terms/>
wdt:,<http://www.wikidata.org/prop/direct/>
meteo:,<http://purl.org/ns/meteo#>
compass:,<http://purl.org/net/compass#>
meta:,<https://krr.triply.cc/krr/sameas-meta/def/>
sdl:,<http://purl.org/vocab/riro/sdl#>
spl:,<http://spinrdf.org/spl#>
es:,<http://eulersharp.sourceforge.net/2003/03swap/log-rules#>
so:,<http://purl.org/ontology/symbolic-music/>
ngeo:,<http://geovocab.org/geometry#>
video:,<http://purl.org/ontology/video#>
xkos:,<http://rdf-vocabulary.ddialliance.org/xkos#>
geof:,<http://www.opengis.net/def/function/geosparql/>
ontolex:,<http://www.w3.org/ns/lemon/ontolex#>
ass:,<http://uptheasset.org/ontology#>
usgov:,<http://www.rdfabout.com/rdf/schema/usgovt/>
acco:,<http://purl.org/acco/ns#>
interval:,<http://reference.data.gov.uk/def/intervals/>
gso:,<http://www.w3.org/2006/gen/ont#>
opensearch:,<http://a9.com/-/spec/opensearch/1.1/>
profiling:,<http://ontologi.es/profiling#>
agg:,<http://purl.org/twc/health/vocab/aggregate/>
rdac:,<http://rdaregistry.info/Elements/c/>
bio2rdf:,<http://bio2rdf.org/>
os:,<http://www.w3.org/2000/10/swap/os#>
tmo:,<http://www.semanticdesktop.org/ontologies/2008/05/20/tmo#>
sv:,<http://schemas.talis.com/2005/service/schema#>
money:,<http://purl.org/net/rdf-money/>
ire:,<http://www.ontologydesignpatterns.org/cpont/ire.owl#>
xhe:,<http://buzzword.org.uk/rdf/xhtml-elements#>
omc:,<http://purl.org/ontomedia/ext/common/bestiary#>
ocd:,<http://dati.camera.it/ocd/>
conv:,<http://purl.org/twc/vocab/conversion/>
xro:,<http://purl.org/xro/ns#>
powder:,<http://www.w3.org/2007/05/powder#>
lang:,<http://ontologi.es/lang/core#>
wgs:,<http://www.w3.org/2003/01/geo/wgs84_pos#>
gpt:,<http://purl.org/vocab/riro/gpt#>
chebi:,<http://bio2rdf.org/chebi:>
contact:,<http://www.w3.org/2000/10/swap/pim/contact#>
rep:,<http://www.openrdf.org/config/repository#>
penn:,<http://purl.org/olia/penn.owl#>
omp:,<http://purl.org/ontomedia/ext/common/profession#>
efo:,<http://www.ebi.ac.uk/efo/>
gnd:,<http://d-nb.info/gnd/>
ps:,<https://w3id.org/payswarm#>
fed:,<http://www.openrdf.org/config/sail/federation#>
hard:,<http://www.w3.org/2007/uwa/context/hardware.owl#>
ms:,<http://purl.org/obo/owl/MS#>
rdrel:,<http://rdvocab.info/RDARelationshipsWEMI/>
rdfsharp:,<https://rdfsharp.codeplex.com/>
tio:,<http://purl.org/tio/ns#>
awol:,<http://bblfish.net/work/atom-owl/2006-06-06/#>
audio:,<http://purl.org/media/audio#>
chord:,<http://purl.org/ontology/chord/>
omm:,<http://purl.org/ontomedia/core/media#>
cidoc:,<http://erlangen-crm.org/current/>
hg:,<http://rdf.histograph.io/>
prj:,<http://purl.org/stuff/project/>
courseware:,<http://courseware.rkbexplorer.com/ontologies/courseware#>
nrl:,<http://www.semanticdesktop.org/ontologies/2007/08/15/nrl#>
swivt:,<http://semantic-mediawiki.org/swivt/1.0#>
xl:,<http://langegger.at/xlwrap/vocab#>
biopax:,<http://www.biopax.org/release/biopax-level3.owl#>
ao:,<http://purl.org/ontology/ao/core#>
code:,<http://telegraphis.net/ontology/measurement/code#>
tdb:,<http://jena.hpl.hp.com/2008/tdb#>
worldbank:,<http://worldbank.270a.info/dataset/>
affy:,<http://www.affymetrix.com/community/publications/affymetrix/tmsplice#>
xen:,<http://buzzword.org.uk/rdf/xen#>
sco:,<http://purl.org/ontology/sco#>
swp:,<http://www.w3.org/2004/03/trix/swp-2/>
rei:,<http://www.w3.org/2004/06/rei#>
ct:,<http://data.linkedct.org/resource/linkedct/>
soft:,<http://www.w3.org/2007/uwa/context/software.owl#>
library:,<http://purl.org/library/>
hydra:,<http://www.w3.org/ns/hydra/core#>
obj:,<http://www.openrdf.org/rdf/2009/object#>
pmlp:,<http://inference-web.org/2.0/pml-provenance.owl#>
inno:,<http://purl.org/innovation/ns#>
sim:,<http://purl.org/ontology/similarity/>
ref:,<http://purl.org/vocab/relationship/>
lgdo:,<http://linkedgeodata.org/ontology/>
hlisting:,<http://sindice.com/hlisting/0.1/>
spc:,<http://purl.org/ontomedia/core/space#>
lfm:,<http://purl.org/ontology/last-fm/>
rdagr1:,<http://rdvocab.info/Elements/>
doclist:,<http://www.junkwork.net/xml/DocumentList#>
game:,<http://data.totl.net/game/>
lom:,<http://ltsc.ieee.org/rdf/lomv1p0/lom#>
sail:,<http://www.openrdf.org/config/sail#>
net:,<http://www.w3.org/2007/uwa/context/network.owl#>
lime:,<http://www.w3.org/ns/lemon/lime#>
bp:,<http://www.biopax.org/release/biopax-level3.owl#>
hcterms:,<http://purl.org/uF/hCard/terms/>
oat:,<http://openlinksw.com/schemas/oat/>
sede:,<http://eventography.org/sede/0.1/>
rdfa:,<http://www.w3.org/ns/rdfa#>
up:,<http://purl.uniprot.org/core/>
p3p:,<http://www.w3.org/2002/01/p3prdfv1#>
moat:,<http://moat-project.org/ns#>
pext:,<http://www.ontotext.com/proton/protonext#>
iswc:,<http://annotation.semanticweb.org/2004/iswc#>
icaltzd:,<http://www.w3.org/2002/12/cal/icaltzd#>
copyright:,<http://rhizomik.net/ontologies/copyrightonto.owl#>
dwc:,<http://rs.tdwg.org/dwc/terms/>
resource:,<http://purl.org/vocab/resourcelist/schema#>
kwijibo:,<http://kwijibo.talis.com/>
dailymed:,<http://www4.wiwiss.fu-berlin.de/dailymed/resource/dailymed/>
eu:,<http://eulersharp.sourceforge.net/2003/03swap/log-rules#>
sysont:,<http://ns.ontowiki.net/SysOnt/>
cycann:,<http://sw.cyc.com/CycAnnotations_v1#>
dbnary:,<http://kaiko.getalp.org/dbnary#>
isothes:,<http://purl.org/iso25964/skos-thes#>
ero:,<http://purl.obolibrary.org/obo/>
common:,<http://www.w3.org/2007/uwa/context/common.owl#>
opo:,<http://online-presence.net/opo/ns#>
ne:,<http://umbel.org/umbel/ne/>
string:,<http://www.w3.org/2000/10/swap/string#>
airport:,<http://www.daml.org/2001/10/html/airport-ont#>
name:,<http://example.org/name#>
sport:,<http://www.bbc.co.uk/ontologies/sport/>
swandr:,<http://purl.org/swan/1.2/discourse-relationships/>
nt:,<http://ns.inria.fr/nicetag/2010/09/09/voc#>
irrl:,<http://www.ontologydesignpatterns.org/cp/owl/informationobjectsandrepresentationlanguages.owl#>
purl:,<http://www.purl.org/>
uco:,<http://purl.org/uco/ns#>
ui:,<http://www.w3.org/ns/ui#>
crypto:,<http://www.w3.org/2000/10/swap/crypto#>
custom:,<http://www.openrdf.org/config/sail/custom#>
rov:,<http://www.w3.org/ns/regorg#>
meetup:,<http://www.lotico.com/meetup/>
states:,<http://www.w3.org/2005/07/aaa#>
dady:,<http://purl.org/NET/dady#>
bib:,<http://zeitkunst.org/bibtex/0.1/bibtex.owl#>
lt:,<http://diplomski.nelakolundzija.org/LTontology.rdf#>
swanqs:,<http://purl.org/swan/1.2/qualifiers/>
lastfm:,<http://purl.org/ontology/last-fm/>
scv:,<http://purl.org/NET/scovo#>
sm:,<http://topbraid.org/sparqlmotion#>
swh:,<http://plugin.org.uk/swh-plugins/>
eztag:,<http://ontologies.ezweb.morfeo-project.org/eztag/ns#>
push:,<http://www.w3.org/2007/uwa/context/push.owl#>
wdr:,<http://www.w3.org/2007/05/powder#>
aifb:,<http://www.aifb.kit.edu/id/>
example:,<http://www.example.org/rdf#>
vote:,<http://www.rdfabout.com/rdf/schema/vote/>
nid3:,<http://www.semanticdesktop.org/ontologies/2007/05/10/nid3#>
prissma:,<http://ns.inria.fr/prissma/v1#>
pmlr:,<http://inference-web.org/2.0/pml-relation.owl#>
like:,<http://ontologi.es/like#>
puc:,<http://purl.org/NET/puc#>
viaf:,<http://viaf.org/ontology/1.1/#>
nexif:,<http://www.semanticdesktop.org/ontologies/2007/05/10/nexif#>
pbo:,<http://purl.org/ontology/pbo/core#>
ddl:,<http://purl.org/vocab/riro/ddl#>
wordmap:,<http://purl.org/net/ns/wordmap#>
cogs:,<http://vocab.deri.ie/cogs#>
dcmitype:,<http://purl.org/dc/dcmitype/>
ist:,<http://purl.org/ontology/is/types/>
grddl:,<http://www.w3.org/2003/g/data-view#>
eco:,<http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#>
tags:,<http://www.holygoat.co.uk/owl/redwood/0.1/tags/>
cordis:,<http://cordis.europa.eu/projects/>
frir:,<http://purl.org/twc/ontology/frir.owl#>
anca:,<http://users.utcluj.ro/~raluca/rdf_ontologies_ralu/ralu_modified_ontology_pizzas2_0#>
dgtwc:,<http://data-gov.tw.rpi.edu/2009/data-gov-twc.rdf#>
phil:,<http://philosurfical.open.ac.uk/ontology/philosurfical.owl#>
gml:,<http://www.opengis.net/ont/gml#>
resex:,<http://resex.rkbexplorer.com/ontologies/resex#>
xforms:,<http://www.w3.org/2002/xforms/>
ttl:,<http://www.w3.org/2008/turtle#>
wikidata:,<http://www.wikidata.org/entity/>
phss:,<http://ns.poundhill.com/phss/1.0/>
lotico:,<http://www.lotico.com/resource/>
trackback:,<http://madskills.com/public/xml/rss/module/trackback/>
rail:,<http://ontologi.es/rail/vocab#>
lifecycle:,<http://purl.org/vocab/lifecycle/schema#>
sml:,<http://topbraid.org/sparqlmotionlib#>
pobo:,<http://purl.obolibrary.org/obo/>
apivc:,<http://purl.org/linked-data/api/vocab#>
xlink:,<https://es.scribd.com/doc/79794476/05-Ejercicios-Resueltos-Caja-Negra-y-Recapitulacion/>
freebase:,<http://rdf.freebase.com/ns/>
person:,<http://www.w3.org/ns/person#>
mysql:,<http://web-semantics.org/ns/mysql/>
prot:,<http://www.proteinontology.info/po.owl#>
res:,<http://dbpedia.org/resource/>
ub:,<http://www.lehigh.edu/~zhp2/2004/0401/univ-bench.owl#>
lu:,<http://www.ontologydesignpatterns.org/ont/framenet/abox/lu/>
gob:,<http://purl.org/ontology/last-fm/>
conversion:,<http://purl.org/twc/vocab/conversion/>
pom:,<http://maven.apache.org/POM/4.0.0#>
ibis:,<http://purl.org/ibis#>
places:,<http://purl.org/ontology/places#>
swanco:,<http://purl.org/swan/1.2/swan-commons/>
play:,<http://uriplay.org/spec/ontology/#>
dummy:,<http://hello.com/>
st:,<http://ns.inria.fr/sparql-template/>
act:,<http://www.w3.org/2007/rif-builtin-action#>
rulz:,<http://purl.org/NET/rulz#>
ezcontext:,<http://ontologies.ezweb.morfeo-project.org/ezcontext/ns#>
qdoslf:,<http://foaf.qdos.com/lastfm/schema/>
dt:,<http://dbpedia.org/datatype/>
smiley:,<http://www.smileyontology.com/ns#>
c4n:,<http://vocab.deri.ie/c4n#>
dnr:,<http://www.dotnetrdf.org/configuration#>
httpvoc:,<http://www.w3.org/2006/http#>
lingvoj:,<http://www.lingvoj.org/ontology#>
